question_id,content,order
1,ア：カスタマイゼーション　　イ：環境　　ウ：直感的　　エ：ミス,1
1,ア：ノーマライゼーション　　イ：制度　　ウ：直感的　　エ：長時間利用,2
1,ア：ノーマライゼーション　　イ：環境　　ウ：直感的　　エ：ミス,3
1,ア：カスタマイゼーション　　イ：制度　　ウ：論理的　　エ：長時間利用,4
1,ア：ノーマライゼーション　　イ：環境　　ウ：論理的　　エ：長時間利用,5
2,ウ → イ → エ → ア,1
2,ア → ウ → イ → エ,2
2,ア → イ → ウ → エ,3
2,ウ → ア → イ → エ,4
2,ア → ウ → エ → イ,5
3,ア：正　　イ：正　　ウ：正　　エ：誤　　オ：誤,1
3,ア：誤　　イ：正　　ウ：正　　エ：正　　オ：誤,2
3,ア：誤　　イ：誤　　ウ：正　　エ：正　　オ：正,3
3,ア：正　　イ：誤　　ウ：誤　　エ：正　　オ：正,4
3,ア：正　　イ：正　　ウ：誤　　エ：誤　　オ：正,5
4,"\( x_1 = 0, x_2 = 5, -1 \leq \Delta c \leq \frac{5}{2} \)",1
4,"\( x_1 = 6, x_2 = 3, \Delta c \leq -1 \) または \( \frac{5}{2} \leq \Delta c \)",2
4,"\( x_1 = 6, x_2 = 3, -1 \leq \Delta c \leq 1 \)",3
4,"\( x_1 = 0, x_2 = 5, \Delta c \leq -1 \) または \( \frac{5}{2} \leq \Delta c \)",4
4,"\( x_1 = 6, x_2 = 3, -1 \leq \Delta c \leq \frac{5}{2} \)",5
5,ア：正　　イ：正　　ウ：誤　　エ：誤　　オ：誤,1
5,ア：誤　　イ：正　　ウ：正　　エ：誤　　オ：誤,2
5,ア：誤　　イ：誤　　ウ：正　　エ：正　　オ：誤,3
5,ア：誤　　イ：誤　　ウ：誤　　エ：正　　オ：正,4
5,ア：正　　イ：誤　　ウ：誤　　エ：誤　　オ：正,5
6,2,1
6,3,2
6,4,3
6,5,4
6,nに依らずシステムの信頼度は0.94未満であり、最小値は存在しない。,5
7,復号化によって元の情報を完全に復元でき、情報の欠落がない圧縮は可逆圧縮と呼ばれ、テキストデータ等の圧縮に使われることが多い。,1
7,復号化によって元の情報には完全には戻らず、情報の欠落を伴う圧縮は非可逆圧縮と呼ばれ、音声や映像等の圧縮に使われることが多い。,2
7,静止画に対する代表的な圧縮方式としてJPEGがあり、動画に対する代表的な圧縮方式としてMPEGがある。,3
7,データ圧縮では、情報源に関する知識（記号の生起確率など）が必要であり、情報源の知識が無い場合にはデータ圧縮することはできない。,4
7,可逆圧縮には限界があり、どのような方式であっても、その限界を超えて圧縮することはできない。,5
8,"\( f(x, y, z) = xy + z \)",1
8,"\( f(x, y, z) = \overline{x}y + \overline{yz} \)",2
8,"\( f(x, y, z) = xy + \overline{y}z \)",3
8,"\( f(x, y, z) = xy + \overline{xy} \)",4
8,"\( f(x, y, z) = xy + \overline{x}z \)",5
9,メール中のオンラインストレージのURLリンクを使用したファイルの受信は、正規のサービスかどうかを確認し、メールゲートウェイで検知する。,1
9,標的型攻撃への対策は、複数の対策を多層的に組合せて防御する。,2
9,あらかじめ組織内に連絡すべき窓口を設け、利用者が標的型攻撃メールを受信した際の連絡先として周知させる。,3
9,あらかじめシステムや実行ポリシーで、利用者の環境で実行可能なファイルを制限しておく。,4
9,擬似的な標的型攻撃メールを利用者に送信し、その対応を調査する訓練を定期的に実施する。,5
10," \( \text{ア}: (000110)_{2}, \quad \text{イ}: (000101)_{2} \)",1
10," \( \text{ア}: (011010)_{2}, \quad \text{イ}: (011001)_{2} \)",2
10," \( \text{ア}: (000111)_{2}, \quad \text{イ}: (000110)_{2} \)",3
10,"\( \text{ア}: (011001)_{2}, \quad \text{イ}: (011010)_{2} \)",4
10," \( \text{ア}: (011000)_{2}, \quad \text{イ}: (011001)_{2} \)",5
11,ア：25　　イ：52　　ウ：105,1
11,ア：25　　イ：52　　ウ：106,2
11,ア：26　　イ：52　　ウ：105,3
11,ア：26　　イ：53　　ウ：105,4
11,ア：26　　イ：53　　ウ：106,5
12,ア：45［ns］　　イ：2,1
12,ア：60［ns］　　イ：2,2
12,ア：60［ns］　　イ：5,3
12,ア：90［ns］　　イ：2,4
12,ア：90［ns］　　イ：5,5
13,"\( (-12, 0, 6) \) ",1
13,18,2
13,24,3
13,"\( (1, 15, 8) \) ",4
13,"\( (1, 5, 12) \)",5
14,6,1
14,"\( (4,8) \)",2
14,12,3
14,\( 4\sqrt{5} \),4
14,\( \sqrt{2} \),5
15,有限要素法において、要素分割を細かくすると、一般に近似誤差は大きくなる。,1
15,数値計算の誤差は、対象となる物理現象の法則で定まるので、計算アルゴリズムを改良しても誤差は減少しない。,2
15,浮動小数点演算において、近接する2数の引き算では、有効桁数が失われる桁落ち誤差を生じることがある。,3
15,テイラー級数展開に基づき、微分方程式を差分方程式に置き換えるときの近似誤差は、格子幅によらずほぼ一定値となる。,4
15,非線形現象を線形方程式で近似しても、線形方程式の数値計算法が数学的に厳密であれば、得られる結果には数値誤差はないとみなせる。,5
16,"\( \left(\frac{1}{4}, \frac{1}{5}, \frac{1}{3}\right), \left(\frac{1}{2}, 0, \frac{1}{2}\right) \)",1
16,"\( \left(\frac{1}{4}, \frac{1}{5}, \frac{1}{3}\right), \left(\frac{1}{3}, \frac{1}{3}, \frac{1}{3}\right) \)",2
16,"\( \left(\frac{1}{3}, \frac{1}{3}, \frac{1}{3}\right), \left(\frac{1}{2}, 0, \frac{1}{2}\right) \)",3
16,"\( \left(\frac{1}{3}, \frac{5}{12}, \frac{1}{4}\right), \left(\frac{1}{2}, 0, \frac{1}{2}\right) \)",4
16,"\( \left(\frac{1}{3}, \frac{5}{12}, \frac{1}{4}\right), \left(\frac{1}{3}, \frac{1}{3}, \frac{1}{3}\right) \)",5
17,\( f_A = f_B = f_C \),1
17,\( f_A > f_B > f_C \),2
17,\( f_A < f_B < f_C \),3
17,\( f_A = f_C > f_B \),4
17,\( f_A = f_C < f_B \),5
18,\[ v_b = \frac{A_b}{A_a} \sqrt{\frac{p_b - p_a}{\rho}} \],1
18,\[ v_b = \frac{A_a}{A_b} \sqrt{\frac{p_a - p_b}{\rho}} \],2
18,\[ v_b = \frac{1}{\sqrt{1 - \frac{A_b}{A_a}}} \sqrt{\frac{2(p_b - p_a)}{\rho}} \],3
18,\[ v_b = \frac{1}{\sqrt{1 - \frac{A_b}{A_a}}} \sqrt{\frac{2(p_a - p_b)}{\rho}} \],4
18,\[ v_b = \frac{1}{\sqrt{1 - \left(\frac{A_b}{A_a}\right)^2}} \sqrt{\frac{2(p_a - p_b)}{\rho}} \],5
19,メタン: \( \text{CH}_4 \) (16),1
19,エチレン: \( \text{C}_2\text{H}_4 \) (28),2
19,エタン: \( \text{C}_2\text{H}_6 \) (30),3
19,メタノール: \( \text{CH}_4\text{O} \) (32),4
19,エタノール: \( \text{C}_2\text{H}_6\text{O} \) (46),5
20,"（a, b）",1
20,"（a, c）",2
20,"（a, d）",3
20,"（b, c）",4
20,"（b, d）",5
21,密度：（ア）　　電気抵抗率：（ウ）　　融点：（オ）,1
21,密度：（ア）　　電気抵抗率：（エ）　　融点：（オ）,2
21,密度：（イ）　　電気抵抗率：（エ）　　融点：（ア）,3
21,密度：（ウ）　　電気抵抗率：（イ）　　融点：（ア）,4
21,密度：（ウ）　　電気抵抗率：（イ）　　融点：（オ）,5
22,\( \text{ア} : 2 \)　　\( \text{イ} : 12 \)　　\( \text{ウ} : a = \frac{4R}{\sqrt{3}} \),1
22,\( \text{ア} : 2 \)　　\( \text{イ} : 8 \)　　\( \text{ウ} : a = \frac{4R}{\sqrt{3}} \),2
22,\( \text{ア} : 4 \)　　\( \text{イ} : 12 \)　　\( \text{ウ} : a = \frac{4R}{\sqrt{3}} \)],3
22,\( \text{ア} : 4 \)　　\( \text{イ} : 8 \)　　\( \text{ウ} : a = 2\sqrt{2}R \),4
22,"\( \text{ア} : 4 \)　　\( \text{イ} : 12 \)　　\( \text{ウ} : a = 2\sqrt{2}R \)",5
23,3モル,1
23,4モル,2
23,6モル,3
23,8モル,4
23,12モル,5
24,DNAの熱変性では、2本鎖DNAの共有結合を切断して1本鎖DNAに解離させるために加熱を行う。,1
24,アニーリング温度を上げすぎると、1本鎖DNAに対するプライマーの非特異的なアニーリングが起こりやすくなる。,2
24,伸長反応の時間は増幅したい配列の長さによって変える必要があり、増幅したい配列が長くなるにつれて伸長反応時間は短くする。,3
24,耐熱性の高いDNAポリメラーゼが、PCR法に適している。,4
24,PCR法により増幅したDNAには、プライマーの塩基配列は含まれない。,5
25,ア：正　　イ：正　　ウ：誤　　エ：正　　オ：誤,1
25,ア：正　　イ：誤　　ウ：誤　　エ：正　　オ：正,2
25,ア：正　　イ：正　　ウ：正　　エ：誤　　オ：誤,3
25,ア：誤　　イ：誤　　ウ：正　　エ：正　　オ：正,4
25,ア：誤　　イ：正　　ウ：誤　　エ：誤　　オ：正,5
26,生物多様性の保全及び持続可能な利用に悪影響を及ぼすおそれのある遺伝子組換え生物の移送、取扱い、利用の手続等について、国際的な枠組みに関する議定書が採択されている。,1
26,移入種（外来種）は在来の生物種や生態系に様々な影響を及ぼし、なかには在来種の駆逐を招くような重大な影響を与えるものもある。,2
26,移入種問題は、生物多様性の保全上、最も重要な課題の1つとされているが、我が国では動物愛護の観点から、移入種の駆除の対策は禁止されている。,3
26,生物多様性条約は、1992年にリオデジャネイロで開催された国連環境開発会議において署名のため開放され、所定の要件を満たしたことから、翌年、発効した。,4
26,生物多様性条約の目的は、生物の多様性の保全、その構成要素の持続可能な利用及び遺伝資源の利用から生ずる利益の公正かつ衡平な配分を実現することである。,5
27,日本全体の最終エネルギー消費は2005年度をピークに減少傾向になり、2011年度からは東日本大震災以降の節電意識の高まりなどによってさらに減少が進んだ。,1
27,産業部門と業務他部門全体のエネルギー消費は、第一次石油ショック以降、経済成長する中でも製造業を中心に省エネルギー化が進んだことから同程度の水準で推移している。,2
27,1単位の国内総生産（GDP）を産出するために必要な一次エネルギー消費量の推移を見ると、日本は世界平均を大きく下回る水準を維持している。,3
27,家庭部門のエネルギー消費は、東日本大震災以降も、生活の利便性・快適性を追求する国民のライフスタイルの変化や世帯数の増加等を受け、継続的に増加している。,4
27,運輸部門（旅客部門）のエネルギー消費は2002年度をピークに減少傾向に転じたが、これは自動車の燃費が改善したことに加え、軽自動車やハイブリッド自動車など低燃費な自動車のシェアが高まったことが大きく影響している。,5
28,ア：30　　イ：コンバインド　　ウ：シェール,1
28,ア：20　　イ：コンバインド　　ウ：シェール,2
28,ア：20　　イ：再熱再生　　　　ウ：シェール,3
28,ア：30　　イ：コンバインド　　ウ：タイトサンド,4
28,ア：30　　イ：再熱再生　　　　ウ：タイトサンド,5
29,江戸時代に成熟していた手工業的な産業が、明治維新によって開かれた新市場において、西洋技術を取り入れながら独自の発展を生み出していった。,1
29,西洋の先進国で標準化段階に達した技術ー式が輸入され、低賃金の労働力によって価格競争力の高い製品が生産された。,2
29,日本工学会に代表される技術系学協会は、欧米諸国とは異なり大学などの高学歴出身者たちによって組織された。,3
29,工場での労働条件を改善しながら国際競争力を強化するために、テイラーの科学的管理法が注目され、その際に統計的品質管理の方法が導入された。,4
29,工業化の進展にともない、技術官僚たちは行政における技術者の地位向上運動を展開した。,5
30,イ → エ → ア → オ → ウ,1
30,イ → エ → オ → ウ → ア,2
30,イ → オ → エ → ア → ウ,3
30,エ → イ → オ → ア → ウ,4
30,エ → オ → イ → ア → ウ,5
31,ア：義務　　イ：公益　　ウ：責務　　エ：技術部門　　オ：制限　　カ：準用　　キ：能力,1
31,ア：責務　　イ：安全　　ウ：義務　　エ：専門部門　　オ：制約　　カ：適用　　キ：能力,2
31,ア：義務　　イ：公益　　ウ：責務　　エ：技術部門　　オ：制約　　カ：適用　　キ：資質,3
31,ア：責務　　イ：安全　　ウ：義務　　エ：専門部門　　オ：制約　　カ：準用　　キ：資質,4
31,ア：義務　　イ：公益　　ウ：責務　　エ：技術部門　　オ：制限　　カ：準用　　キ：資質,5
32,技術者は、製品、技術および知的生産物に関して、その品質、信頼性、安全性、および環境保全に対する責任を有する。また、職務遂行においては常に公衆の安全、健康、福祉を最優先させる。,1
32,技術者は、研究・調査データの記録保存や厳正な取扱いを徹底し、ねつ造、改ざん、盗用などの不正行為をなさず、加担しない。ただし、顧客から要求があった場合は、要求に沿った多少のデータ修正を行ってもよい。,2
32,技術者は、人種、性、年齢、地位、所属、思想・宗教などによって個人を差別せず、個人の人権と人格を尊重する。,3
32,技術者は、不正行為を防止する公正なる環境の整備・維持も重要な責務であることを自覚し、技術者コミュニティおよび自らの所属組織の職務・研究環境を改善する取り組みに積極的に参加する。,4
32,技術者は、自己の専門知識と経験を生かして、将来を担う技術者・研究者の指導・育成に努める。,5
33,ア：○　　イ：○　　ウ：○　　エ：○,1
33,ア：○　　イ：○　　ウ：○　　エ：×,2
33,ア：○　　イ：○　　ウ：×　　エ：○,3
33,ア：○　　イ：×　　ウ：○　　エ：○,4
33,ア：×　　イ：○　　ウ：○　　エ：○,5
34,ア：○　　イ：○　　ウ：×　　エ：×,1
34,ア：○　　イ：×　　ウ：○　　エ：×,2
34,ア：×　　イ：×　　ウ：○　　エ：○,3
34,ア：×　　イ：○　　ウ：×　　エ：○,4
34,ア：○　　イ：×　　ウ：○　　エ：○,5
35,4,1
35,5,2
35,6,3
35,7,4
35,8,5
36,この法律は、製造物の欠陥により人の生命、身体又は財産に係る被害が生じた場合における製造業者等の損害賠償の責任について定めることにより、被害者の保護を図り、もって国民生活の安定向上と国民経済の健全な発展に寄与することを目的としている。,1
36,この法律において、製造物の欠陥に起因する損害についての賠償責任を製造業者等に対して追及するためには、製造業者等の故意あるいは過失の有無は関係なく、その欠陥と損害の間に相当因果関係が存在することを証明する必要がある。,2
36,この法律には「開発危険の抗弁」という免責事由に関する条項がある。これにより、当該製造物を引き渡した時点における科学・技術知識の水準で、欠陥があることを認識することが不可能であったことを製造事業者等が証明できれば免責される。,3
36,この法律に特段の定めがない製造物の欠陥による製造業者等の損害賠償の責任については、民法の規定が適用される。,4
36,この法律は、国際的に統一された共通の規定内容であるので、海外に製品を輸出、現地生産等の際には我が国のPL法の規定に基づけばよい。,5
37,ア：見積り　　イ：評価　　ウ：発生リスク　　エ：妥当性確認及び文書化,1
37,ア：同定　　　イ：評価　　ウ：発生リスク　　エ：合理性確認及び記録化,2
37,ア：見積り　　イ：検証　　ウ：残留リスク　　エ：妥当性確認及び記録化,3
37,ア：見積り　　イ：評価　　ウ：残留リスク　　エ：妥当性確認及び文書化,4
37,ア：同定　　　イ：検証　　ウ：発生リスク　　エ：合理性確認及び文書化,5
38,0,1
38,1,2
38,2,3
38,3,4
38,4,5
39,ア：×　　イ：○　　ウ：×　　エ：○,1
39,ア：×　　イ：×　　ウ：○　　エ：○,2
39,ア：○　　イ：×　　ウ：×　　エ：○,3
39,ア：○　　イ：○　　ウ：×　　エ：×,4
39,ア：×　　イ：○　　ウ：○　　エ：×,5
40,ア：○　　イ：○　　ウ：○　　エ：○,1
40,ア：×　　イ：○　　ウ：○　　エ：○,2
40,ア：○　　イ：×　　ウ：○　　エ：○,3
40,ア：○　　イ：○　　ウ：×　　エ：○,4
40,ア：○　　イ：○　　ウ：○　　エ：×,5
41,0,1
41,1,2
41,2,3
41,3,4
41,4,5
42,0,1
42,1,2
42,2,3
42,3,4
42,4,5
43,ア：○　　イ：○　　ウ：○　　エ：○,1
43,ア：○　　イ：○　　ウ：○　　エ：×,2
43,ア：○　　イ：○　　ウ：×　　エ：○,3
43,ア：○　　イ：×　　ウ：○　　エ：○,4
43,ア：×　　イ：○　　ウ：○　　エ：○,5
44,ア：○　　イ：○　　ウ：○　　エ：○,1
44,ア：○　　イ：○　　ウ：○　　エ：×,2
44,ア：○　　イ：○　　ウ：×　　エ：○,3
44,ア：○　　イ：×　　ウ：○　　エ：○,4
44,ア：×　　イ：○　　ウ：○　　エ：○,5
45,6,1
45,5,2
45,4,3
45,3,4
45,2,5
46,小売店の入り口のドアを、ショッピングカートやベビーカーを押していて手がふさがっている人でも通りやすいよう、自動ドアにした。,1
46,録音再生機器（オーディオプレーヤーなど）に、利用者がゆっくり聴きたい場合や速度を速めて聴きたい場合に対応できるよう、再生速度が変えられる機能を付けた。,2
46,駅構内の施設を案内する表示に、視覚的な複雑さを軽減し素早く効果的に情報が伝えられるよう、ピクトグラム（図記号）を付けた。,3
46,冷蔵庫の扉の取っ手を、子どもがいたずらしないよう、扉の上の方に付けた。,4
46,電子機器の取扱説明書を、個々の利用者の能力や好みに合うよう、大きな文字で印刷したり、点字や音声・映像で提供したりした。,5
47,C　＞　B　＞　E　＞　A　＞　D,1
47,C　＞　B　＞　A　＞　E　＞　D,2
47,C　＞　E　＞　B　＞　D　＞　A,3
47,E　＞　D　＞　A　＞　B　＞　C,4
47,E　＞　D　＞　C　＞　B　＞　A,5
48,ア：正　　イ：誤　　ウ：正　　エ：正,1
48,ア：正　　イ：正　　ウ：誤　　エ：誤,2
48,ア：正　　イ：正　　ウ：正　　エ：誤,3
48,ア：誤　　イ：正　　ウ：誤　　エ：正,4
48,ア：誤　　イ：誤　　ウ：正　　エ：正,5
49,\( \frac{A}{A - B} \),1
49,\( \frac{B}{A - B} \),2
49,\( \frac{A}{A + B} \),3
49,\( \frac{B}{A + B} \),4
49,\( \frac{A}{B} \),5
50,ア：正　　イ：誤　　ウ：正　　エ：正,1
50,ア：正　　イ：正　　ウ：誤　　エ：正,2
50,ア：誤　　イ：誤　　ウ：誤　　エ：正,3
50,ア：誤　　イ：正　　ウ：正　　エ：誤,4
50,ア：誤　　イ：正　　ウ：誤　　エ：誤,5
51,ア：誤　　イ：正　　ウ：正　　エ：正　　オ：誤,1
51,ア：正　　イ：誤　　ウ：正　　エ：誤　　オ：正,2
51,ア：誤　　イ：正　　ウ：誤　　エ：正　　オ：誤,3
51,ア：誤　　イ：誤　　ウ：正　　エ：誤　　オ：正,4
51,ア：正　　イ：誤　　ウ：誤　　エ：正　　オ：誤,5
52,公開鍵暗号方式では、暗号化に公開鍵を使用し、復号に秘密鍵を使用する。,1
52,公開鍵基盤の仕組みでは、ユーザとその秘密鍵の結びつきを証明するため、第三者機関である認証局がそれらデータに対するディジタル署名を発行する。,2
52,スマートフォンがウイルスに感染したという報告はないため、スマートフォンにおけるウイルス対策は考えなくてもよい。,3
52,ディジタル署名方式では、ディジタル署名の生成には公開鍵を使用し、その検証には秘密鍵を使用する。,4
52,現在、無線LANの利用においては、WEP（Wired Equivalent Privacy）方式を利用することが推奨されている。,5
53,\( \left(A+B\right)\cdot\overline{\left(A+B\right)} \),1
53,\( \left(A+B\right)\cdot\left(\overline{A}+\overline{B}\right) \),2
53,\( \left(A\cdot B\right)\cdot\left(\overline{A}\cdot \overline{B}\right) \),3
53,\( \left(A\cdot B\right)\cdot\overline{\left(A\cdot B\right)} \),4
53,\( \left(A+ B\right)+\left(\overline{A}+ \overline{B}\right) \),5
54,286秒,1
54,143秒,2
54,100秒,3
54,18秒,4
54,13秒,5
55,①,1
55,②,2
55,③,3
55,④,4
55,⑤,5
56,ABC÷＋DF−×,1
56,AB＋C÷DF−×,2
56,ABC÷＋D×F−,3
56,×＋A÷BC−DF,4
56,AB＋C÷D×F,5
57,ア：正　　イ：誤　　ウ：誤　　エ：誤,1
57,ア：正　　イ：正　　ウ：誤　　エ：正,2
57,ア：正　　イ：正　　ウ：正　　エ：誤,3
57,ア：正　　イ：誤　　ウ：正　　エ：誤,4
57,ア：誤　　イ：誤　　ウ：誤　　エ：正,5
58,7,1
58,"（0, 6, 1）",2
58,4,3
58,"（0, 1, 3）",4
58,"（4, 14, 7）",5
59,\(2f(0)\),1
59,\(f(-\sqrt{\frac{1}{3}}) + f(\sqrt{\frac{1}{3}})\),2
59,\(f(-1) + f(1)\),3
59,\(\frac{f(-\sqrt{\frac{3}{5}})}{2} + \frac{8f(0)}{9}\),4
59, \(\frac{f(-1)}{2} + f(0) + \frac{f(1)}{2}\),5
60,（ア）,1
60,（イ）,2
60,（ウ）,3
60,（ア）と（イ）,4
60,（ア）と（ウ）,5
61,2.0MPaの引張応力,1
61,4.0MPaの引張応力,2
61,4.0MPaの圧縮応力,3
61,8.0MPaの引張応力,4
61,8.0MPaの圧縮応力,5
62,\( 0 \),1
62,\( \frac{1}{2}ka^2 \),2
62,\( \frac{1}{2}ka^2-mga \),3
62,\( \frac{1}{2}k\left(\frac{mg}{k}+a\right)^2 \),4
